## 医生信息（格式为:姓名|科室|擅长）
倪志|消化内科|擅长消化内科常见疾病诊治，专于肝硬化及其并发症、胆胰疾病、消化道出血等消化内科急危重症的诊疗；熟练掌握各项内镜诊疗技术，食管胃静脉曲张硬化套扎术及其他原因消化道出血止血治疗，胆胰系统疾病诊疗，各种消化道支架植入，早癌诊疗等。

张长青|消化内科|擅长消化系统疾病（肝、胆、胰疾病，超声介入治疗、难治性功能性胃肠病、幽门螺旋杆菌相关性疾病、炎症性肠病）的诊治。

赖淑翎|消化内科|擅长消化系统常见病、疑难重症疾病诊疗（胃炎、消化性溃疡、幽门螺旋杆菌感染、炎症性肠病、胰腺炎、肝硬化、消化道出血、功能性胃肠病等），在内镜诊疗方面主要开展胃肠镜检查、超声内镜检查、胃肠道息肉切除、痔疮硬化和套扎、内镜下取异物、胃造瘘、胃空肠造瘘、食管胃底静脉曲张硬化和套扎、内镜下止血术等。

黄诚|肿瘤内科|擅长各系统肿瘤的内科治疗及综合治疗，尤其是胸部肿瘤（肺癌、食管癌、纵隔肿瘤）的诊断和多学科治疗。

吕晓君|肿瘤内科|擅长肺癌、乳腺癌及胃肠道肿瘤的化疗、靶向药物治疗等综合治疗。

吕霞|肿瘤内科|擅长：1.肺癌、乳腺癌、消化道肿瘤及妇科肿瘤的化疗、靶向药物治疗、内分泌治疗、免疫治疗等综合治疗的全程管理；2.癌痛规范化治疗、营养支持及心理治疗等。

丁园|肿瘤内科|擅长：1.恶性肿瘤化疗、免疫、靶向治疗及中医调理等中西医结合治疗；2.难治性癌痛治疗；3.终末期患者姑息减症支持治疗。

王静|肿瘤内科|擅长肺癌、淋巴瘤、乳腺癌、胃肠肿瘤等各类常见恶性肿瘤的综合诊疗及全程管理。

邱钧|肿瘤内科|擅长胃肠肿瘤、肺癌、乳腺癌等常见恶性肿瘤的综合治疗及肿瘤营养支持、姑息治疗。

胡春|肿瘤内科|擅长肺癌、食管癌、乳腺癌、胃癌、结肠癌、肝癌、胰腺癌、前列腺癌、妇科肿瘤及软组织肉瘤等各类常见恶性肿瘤的规范、精准 及个体化诊治。

潘建基|放疗科|擅长1.头颈部恶性肿瘤诊治，如鼻咽癌、舌癌、口咽癌、喉癌、副鼻窦癌等头颈部恶性肿瘤放射治疗2.近距离后装放射治疗、三维适形调强放疗等精确放射治疗及综合治疗。

洪俊强|放疗科|擅长鼻咽癌、食管癌、肺癌等各种恶性肿瘤的放疗、化疗、姑息治疗。

张海鸽|放疗科|擅长立体定向放射治疗，妇科肿瘤的三维后装插植治疗，擅长乳腺癌，食管癌，肺癌，妇科肿瘤，脑胶肿瘤，头颈部肿瘤，前列腺癌，直肠癌的放射及综合治疗，参与硼中子俘获治疗临床研究项目，对肿瘤放疗不良反应的预防和对症治疗有丰富经验。

蔡少甫|烧伤整形创面修复科|擅长各种严重烧伤的综合救治技术;2.在烧伤休克、感染及内脏并发症的防治有丰富临床经验;3.在种急慢性伤口治疗、植皮手术、烧伤整形、瘢痕防治及皮瓣手术经验丰富。

郭志谦|烧伤整形创面修复科|擅长瘢痕修复、眼整形和注射美容、体表肿物切除;双眼皮、开眼角、眼袋、切提眉等眼整形;副耳、隐耳、招风耳、耳廓缺损等耳整形;假体及脂肪隆乳、乳房下垂矫正、乳头缩小、乳房填充物取出等乳房整形;腹壁整形、私密整形等;

江碧川|烧伤整形创面修复科|擅长烧烫伤救治、瘢痕防治、植皮皮瓣修复，糖尿病足综合治疗及修复，擅长并指(趾)，多指(趾)畸形的整形修复手术擅长皮肤体表良性肿瘤切除美容修复、恶性肿瘤根治手术 ;擅长植皮、皮瓣修复各种急性、慢性伤口及难愈性创面或伤口等。

汪清|泌尿外科|在泌尿系肿瘤、腹腔镜微创治疗泌尿系疾病、前列腺疾病、泌尿系结石、小儿及女性泌尿系疾病等各领域均有极高的造诣。熟练掌握腹腔镜下前列腺癌根治术;腹腔镜下输尿管膀胱再植术，腹膜后腔镜下肾周淋巴管结扎术;后腹腔镜下离断式肾孟输尿管成形术;后腹膜腹腔镜下肾孟切开取石;输尿管软镜联合多镜碎石术、经尿道前列腺剜除术等泌尿外科高难度手术。

钟玉蛟|泌尿外科|擅长前列腺增生微创手术,钬激光,等离子经尿道前列腺剜除术,泌尿系结石微创手术,经尿道输尿管硬镜,经尿道输尿管软镜,经皮肾镜碎石取石术,泌尿系肿瘤腹腔镜微创手术,肾上腺肿瘤切除术,肾肿瘤部分切除术,肾癌根治性切除术,肾盂输尿管癌半尿路根治性切除术,前列腺癌根治性切除术,膀胱癌根治性切除术,肠道代膀胱术,泌尿生殖器官畸形整形修复手术,慢性前列腺炎,泌尿系感染,男性性功能障碍,不孕不育。

刘焜|泌尿外科|擅长泌尿外科腔内微创技术：经尿道钬激光前列腺剜除术（HoLEP）、膀胱肿瘤钬激光整块切除（EN BLOC）、输尿管镜（软镜和硬镜）检查及碎石、经皮肾镜碎石取石等，以及各种泌尿外科腹腔镜手术（肾切除、肾囊肿去顶减压、肾上腺肿瘤切除等）。对泌尿系统肿瘤（肾癌、膀胱癌、前列腺癌等）、前列腺疾病（前列腺增生、慢性前列腺炎）、泌尿系统结石、男科疾病（性功能障碍、男性不育）、肾移植等方面有着丰富的诊疗经验。

赵色玲|泌尿外科|擅长泌尿系结石微创（输尿管软镜），泌尿系统肿瘤的外科手术及综合治疗，对血尿、肾积水、男性生殖系统疾病(男性不育、慢性前列腺炎、性功能障碍、男性生殖器官整形手术等)具有丰富诊治经验。

魏伟|肝胆胰外科|擅长超微创手术，针对胆囊结石，胆囊息肉开展单孔腹腔镜胆囊手术，擅长肝癌的微创外科治疗，肝脏良性肿瘤的腹腔镜肝切除，晚期肝癌的转化综合治疗，对肝胆管结石，胆道肿瘤，胰腺癌，脾脏肿瘤治疗有较深造诣。

李浩|肝胆胰外科|擅长肝胆胰脾肿瘤、复杂的肝胆管结石及胆石症、重症胰腺炎、门静脉高压症等肝胆胰脾疾病的诊治；肝结节的鉴别诊断（；肝胆胰脾外科微创治疗，特别是单孔腹腔镜手术、实体肿瘤及下肢静脉曲张消融治疗等。

黄雪蕾|颌面外科|擅长口腔颌面颈部良、恶性肿瘤的手术切除及缺损的修复重建，各类颞下颌关节疾病诊疗。

